Skill,Frequency
software,8978
development,6885
agile,3855
testing,3752
python,3656
engineering,3642
data,3540
java,3479
design,3381
sql,3363
aws,3312
systems,3193
cloud,2987
javascript,2879
management,2442
azure,2226
net,2210
linux,1977
git,1931
react,1920
programming,1826
web,1748
kubernetes,1676
integration,1671
docker,1617
communication,1567
architecture,1555
typescript,1533
js,1521
computer,1423
and,1360
css,1352
html,1338
system,1334
api,1327
services,1324
security,1305
devops,1276
test,1227
analysis,1220
angular,1212
computing,1175
unit,1136
scrum,1135
microservices,1115
go,1112
node,1107
ci,1099
code,1095
continuous,1068
science,1045
cd,1039
skills,1038
rest,1029
control,1025
server,1023
apis,1011
microsoft,996
tools,986
jira,981
embedded,963
spring,962
frameworks,942
source,922
databases,920
learning,912
framework,811
technical,788
nosql,787
machine,777
distributed,772
objectoriented,771
technologies,769
restful,757
jenkins,755
applications,743
automation,740
open,739
database,699
gcp,695
networking,656
core,632
performance,632
postgresql,632
project,609
collaboration,590
application,583
windows,571
google,569
github,568
product,566
debugging,560
patterns,560
user,540
algorithms,536
kafka,531
processing,528
requirements,528
mysql,524
confluence,516
leadership,515
deployment,508
documentation,508
asp,507
practices,506
quality,496
android,494
stack,491
problem,486
studio,483
oracle,479
infrastructure,477
problemsolving,476
ui,472
boot,470
json,459
structures,453
analytics,452
network,451
service,451
platform,448
operating,446
apache,440
terraform,438
team,432
patent,430
visual,430
solving,429
relational,422
ai,421
protocols,414
automated,408
scala,408
mongodb,405
troubleshooting,405
standards,397
hardware,395
mvc,391
realtime,391
coding,387
methodologies,386
ruby,376
xml,376
golang,375
solutions,375
kotlin,371
mobile,364
vue,358
languages,354
version,350
functional,348
unix,346
full,344
teamwork,343
frontend,341
backend,339
business,337
experience,332
modeling,331
scripting,329
electrical,328
pipelines,327
tdd,325
delivery,319
lifecycle,319
php,319
life,318
ip,316
enterprise,313
redis,310
optimization,309
platforms,306
reviews,298
intelligence,297
gitlab,295
cycle,292
configuration,291
html5,290
time,288
principles,286
ux,283
storage,282
language,279
lambda,278
mentoring,278
sdlc,278
tcp,278
postgres,277
work,277
ms,274
assurance,271
graphql,270
architectures,268
analytical,265
process,263
spark,263
clearance,262
driven,262
power,262
bash,261
s3,260
planning,259
oriented,257
native,256
review,251
technology,251
kanban,247
bitbucket,245
jquery,244
rust,240
scalability,240
virtualization,240
environment,237
office,237
maintenance,236
containers,235
object,235
big,231
elasticsearch,230
monitoring,229
artificial,228
matlab,228
processes,228
testdriven,227
methodology,226
nodejs,223
engineer,221
to,221
implementation,220
support,219
information,217
interfaces,216
digital,215
ansible,214
ubuntu,214
device,213
ios,211
soap,211
entity,210
writing,206
can,205
of,201
containerization,200
http,197
iot,197
oop,197
fullstack,196
junit,195
serverless,195
shell,195
build,191
cassandra,191
django,191
maven,190
selenium,189
interface,187
amazon,183
arm,183
firmware,183
thinking,183
vision,183
medical,180
rtos,178
verification,176
rdbms,175
concepts,174
rails,174
debian,173
on,173
customer,172
operations,172
best,171
ml,171
reactjs,171
saas,170
graphics,169
reliability,169
risk,169
sap,169
validation,169
orchestration,166
container,165
dynamodb,164
compliance,162
financial,161
industry,161
powershell,161
crossfunctional,159
kernel,159
openstack,159
products,159
simulation,158
teams,157
cloudbased,156
robotics,155
uml,154
components,153
css3,153
cybersecurity,152
opensource,150
secure,150
in,149
iso,149
visualization,149
app,148
etl,148
networks,147
devsecops,146
atlassian,143
environments,143
models,143
bootstrap,141
kvm,141
critical,139
functions,139
automotive,138
bdd,138
dod,138
procedures,138
redux,138
suite,138
svn,138
tracking,138
3d,137
ec2,137
safety,137
swift,134
perl,133
secret,133
gradle,132
simulink,132
solid,131
as,130
communications,130
degree,130
os,130
protocol,130
actions,129
program,129
access,127
qt,127
reporting,127
spi,127
wpf,127
scalable,126
it,125
model,125
tsql,125
certification,124
electronics,124
lxd,124
research,124
ethernet,123
angularjs,122
fpga,121
high,121
rabbitmq,121
techniques,121
improvement,120
apps,119
grpc,119
hibernate,119
logic,119
plans,119
jest,118
end,117
or,117
salesforce,117
blockchain,116
i2c,116
signal,115
cyber,114
eventdriven,114
multithreaded,114
bamboo,113
administration,112
detail,111
hadoop,111
knowledge,111
microservice,111
sass,111
written,111
asynchronous,110
remote,110
safe,110
developer,109
dhcp,109
drivers,109
wifi,109
ajax,108
equipment,108
multithreading,108
attention,107
gateway,107
sqs,107
algorithm,106
interpersonal,106
express,105
insurance,105
law,105
level,105
microcontrollers,105
packaging,105
engine,104
production,104
controls,103
training,103
yocto,103
ecs,102
j2ee,102
people,102
streaming,102
rds,101
db,99
libraries,99
memory,99
pipeline,99
virtual,99
ceph,98
cloudformation,98
cryptography,98
image,98
slack,98
specifications,98
tests,98
natural,97
dns,96
responsive,95
tfs,95
acceptance,94
bachelor,94
client,94
evaluation,94
lxc,94
messaging,94
static,94
devices,93
oauth,93
verbal,93
cypress,92
eclipse,92
elastic,92
electronic,92
event,92
health,92
industrial,92
cloudnative,91
complex,91
datadog,91
telecommunications,91
trading,91
acquisition,90
bus,90
iec,90
load,90
search,90
soa,90
webpack,90
flask,89
springboot,89
mongo,88
multitasking,88
architect,87
caching,87
domain,87
video,87
erp,86
authentication,85
autosar,85
execution,85
firebase,85
tuning,85
wireless,85
change,84
manufacturing,84
new,84
public,84
gpu,83
message,83
splunk,83
modern,82
next,82
root,82
vb,82
cause,81
projects,81
reports,81
bi,80
coverage,79
gui,79
ibm,79
tomcat,79
center,78
healthcare,78
hybrid,78
mathematics,78
prosecution,78
scripts,78
sharepoint,78
snowflake,78
adaptability,77
blazor,77
board,77
deep,77
uart,77
udp,77
uspto,77
labview,76
metrics,76
regression,76
active,75
concurrency,75
defect,75
postman,75
sci,75
orm,74
tensorflow,74
waterfall,74
cuda,73
for,73
release,73
tool,73
doors,72
generative,72
laravel,72
resource,72
servicenow,72
assessment,71
bluetooth,71
driver,71
physics,71
statistical,71
innovation,70
internet,70
middleware,70
organizational,70
privacy,70
rf,70
top,70
energy,69
game,69
methods,69
observability,69
pl,69
plan,69
circleci,68
gathering,68
hipaa,68
modelbased,68
nunit,68
sensor,68
swagger,68
vmware,68
based,67
chef,67
component,67
controllers,67
espresso,67
iam,67
prioritization,67
satellite,67
artifactory,66
drafting,66
fintech,66
flink,66
grafana,66
material,66
npm,66
parallel,66
presentation,66
qa,66
real,66
agent,65
bug,65
eks,65
gdb,65
mechanical,65
processors,65
serviceoriented,65
solution,65
strategy,65
airflow,64
batch,64
clean,64
desktop,64
fundamentals,64
sns,64
trends,64
accessibility,63
alerting,63
db2,63
manager,63
refactoring,63
sso,63
stored,63
tableau,63
cucumber,62
encryption,62
flight,62
servers,62
warehousing,62
workflows,62
advanced,61
foundation,61
lean,61
low,61
oci,61
query,61
site,61
command,60
ide,60
identity,60
juju,60
pair,60
plc,60
puppet,60
soc,60
stem,60
sysml,60
unity,60
aurora,59
cases,59
databricks,59
fda,59
flutter,59
governance,59
large,59
mvvm,59
ssis,59
vulnerability,59
attorney,58
authorization,58
grid,58
pytorch,58
qemu,58
us,58
assembly,57
autonomy,57
firm,57
master,57
paas,57
sdk,57
sprint,57
store,57
building,56
cosmos,56
library,56
maas,56
peer,56
prototyping,56
rpm,56
series,56
space,56
ssrs,56
aerospace,55
audio,55
basic,55
decision,55
ember,55
excel,55
owasp,55
serial,55
vxworks,55
bar,54
cicd,54
play,54
resolution,54
accounting,53
detection,53
english,53
estimation,53
integrations,53
micro,53
mission,53
redshift,53
wcf,53
11,52
es6,52
file,52
flow,52
front,52
highperformance,52
jsp,52
k8s,52
lowlevel,52
making,52
openshift,52
vector,52
workflow,52
benefits,51
layer,51
organization,51
ownership,51
routing,51
stream,51
ts,51
ability,50
appium,50
coaching,50
consumer,50
distribution,50
figma,50
generation,50
iis,50
nginx,50
opengl,50
prometheus,50
sensors,50
snaps,50
tftp,50
autonomous,49
card,49
documents,49
endtoend,49
forms,49
mechanisms,49
profiling,49
pxe,49
schematics,49
usb,49
connect,48
elk,48
feature,48
graph,48
launchpad,48
ntp,48
objectivec,48
paid,48
protection,48
regulatory,48
smart,48
tooling,48
warehouse,48
cdk,47
document,47
dynamics,47
employee,47
flexible,47
helm,47
operational,47
snapcraft,47
strategies,47
theory,47
usability,47
62304,46
architectural,46
back,46
cots,46
debuggers,46
diagrams,46
groovy,46
injection,46
internal,46
lead,46
payment,46
rapid,46
saml,46
stakeholder,46
state,46
statistics,46
subversion,46
teamcity,46
vehicle,46
availability,45
bootloaders,45
case,45
corosync,45
gps,45
jpa,45
linq,45
mentorship,45
motion,45
opensearch,45
pacemaker,45
task,45
tech,45
telemetry,45
content,44
cross,44
dependency,44
issue,44
jmeter,44
mapping,44
mssql,44
payments,44
telematics,44
traceability,44
amt,43
aspice,43
cmake,43
dsp,43
ecommerce,43
interaction,43
ipmi,43
j1939,43
pandas,43
pc,43
professional,43
red,43
redfish,43
requirement,43
standard,43
unreal,43
26262,42
5g,42
avionics,42
circuits,42
compilers,42
dev,42
oo,42
opinions,42
physical,42
ros,42
scale,42
single,42
sonarqube,42
sw,42
ada,41
collaborative,41
definition,41
engines,41
fault,41
hat,41
hive,41
intellij,41
layout,41
libvirt,41
macos,41
modelling,41
nextjs,41
radar,41
regulations,41
word,41
xamarin,41
analyzer,40
apt,40
dpkg,40
dynamic,40
expertise,40
freertos,40
lab,40
maintainability,40
manual,40
mockito,40
orms,40
scaling,40
script,40
threat,40
apex,39
claims,39
cloudwatch,39
custom,39
directory,39
kinesis,39
latency,39
localization,39
mq,39
programs,39
pto,39
queues,39
reverse,39
working,39
creation,38
crm,38
fargate,38
feedback,38
field,38
government,38
hosting,38
ieee,38
incident,38
less,38
misra,38
navigation,38
oscilloscopes,38
pci,38
scientific,38
sharing,38
stacks,38
typeorm,38
vhdl,38
10,37
baseboard,37
datadriven,37
emr,37
equity,37
firestore,37
glue,37
instruments,37
jboss,37
mining,37
mqtt,37
nonrelational,37
online,37
pay,37
pi,37
reality,37
relic,37
assistance,36
dental,36
diversity,36
graphical,36
growth,36
hiring,36
jasmine,36
lake,36
mathematical,36
microcontroller,36
migration,36
numpy,36
oauth2,36
playwright,36
provisioning,36
qnx,36
reactive,36
scaled,36
serverside,36
webapi,36
ble,35
celery,35
centos,35
certified,35
creative,35
do178c,35
efficiency,35
elm,35
imaging,35
infrastructureascode,35
integrated,35
jdbc,35
logging,35
metal,35
mikroorm,35
national,35
ood,35
openapi,35
ovn,35
ptab,35
rendering,35
robot,35
sales,35
testng,35
with,35
yaml,35
bioinformatics,34
comptia,34
factory,34
features,34
finance,34
hl7,34
independent,34
key,34
leave,34
legacy,34
lin,34
lua,34
mariadb,34
marketing,34
mindset,34
packages,34
protobuf,34
rdbs,34
scheduling,34
specification,34
webbased,34
xilinx,34
xp,34
14,33
365,33
coroutines,33
edge,33
fastapi,33
hmi,33
ii,33
kibana,33
largescale,33
manipulation,33
modbus,33
off,33
rs232,33
rules,33
sre,33
transformation,33
ado,32
analog,32
analyzers,32
canalyzer,32
care,32
contract,32
do178,32
fraud,32
fusion,32
guidelines,32
iac,32
istio,32
jms,32
machines,32
mulesoft,32
nifi,32
ovs,32
